ONCE_AUTH,MAKER_ID,MAKER_DT_STAMP,CHECKER_ID,CHECKER_DT_STAMP,RECORD_STAT,MOD_NO,AUTH_STAT,YEAR,CLEARING_HOUSE,WEEKLY_HOLIDAYS
Y,MAKER_ID_231,2026-08-19,CHECKER_ID_2,2026-08-19,O,3283,U,618,CLE,WEEKLY_
Y,MAKER_ID_232,2026-08-20,CHECKER_ID_2,2026-08-20,O,6155,A,2825,CLE,WEEKLY_
Y,MAKER_ID_233,2026-08-21,CHECKER_ID_2,2026-08-21,O,9615,A,1858,CLE,WEEKLY_
Y,MAKER_ID_234,2026-08-22,CHECKER_ID_2,2026-08-22,O,4225,A,984,CLE,WEEKLY_
Y,MAKER_ID_235,2026-08-23,CHECKER_ID_2,2026-08-23,O,5221,A,304,CLE,WEEKLY_
Y,MAKER_ID_236,2026-08-24,CHECKER_ID_2,2026-08-24,O,8527,A,8524,CLE,WEEKLY_
Y,MAKER_ID_237,2026-08-25,CHECKER_ID_2,2026-08-25,O,1276,A,6995,CLE,WEEKLY_
Y,MAKER_ID_238,2026-08-26,CHECKER_ID_2,2026-08-26,O,9476,A,6681,CLE,WEEKLY_
Y,MAKER_ID_239,2026-08-27,CHECKER_ID_2,2026-08-27,O,891,A,1601,CLE,WEEKLY_
Y,MAKER_ID_240,2026-08-28,CHECKER_ID_2,2026-08-28,O,8132,A,4931,CLE,WEEKLY_
Y,MAKER_ID_241,2026-08-29,CHECKER_ID_2,2026-08-29,O,4344,A,8542,CLE,WEEKLY_
Y,MAKER_ID_242,2026-08-30,CHECKER_ID_2,2026-08-30,O,1132,A,9247,CLE,WEEKLY_
Y,MAKER_ID_243,2026-08-31,CHECKER_ID_2,2026-08-31,O,8346,A,1086,CLE,WEEKLY_
Y,MAKER_ID_244,2026-09-01,CHECKER_ID_2,2026-09-01,O,7161,A,2542,CLE,WEEKLY_
Y,MAKER_ID_245,2026-09-02,CHECKER_ID_2,2026-09-02,O,7661,A,4949,CLE,WEEKLY_
Y,MAKER_ID_246,2026-09-03,CHECKER_ID_2,2026-09-03,O,4715,A,677,CLE,WEEKLY_
Y,MAKER_ID_247,2026-09-04,CHECKER_ID_2,2026-09-04,O,3784,A,9985,CLE,WEEKLY_
Y,MAKER_ID_248,2026-09-05,CHECKER_ID_2,2026-09-05,O,4107,A,2388,CLE,WEEKLY_
Y,MAKER_ID_249,2026-09-06,CHECKER_ID_2,2026-09-06,O,142,A,3035,CLE,WEEKLY_
Y,MAKER_ID_250,2026-09-07,CHECKER_ID_2,2026-09-07,O,6641,A,692,CLE,WEEKLY_
Y,MAKER_ID_251,2026-09-08,CHECKER_ID_2,2026-09-08,O,610,A,4561,CLE,WEEKLY_
Y,MAKER_ID_252,2026-09-09,CHECKER_ID_2,2026-09-09,O,1964,A,777,CLE,WEEKLY_
Y,MAKER_ID_253,2026-09-10,CHECKER_ID_2,2026-09-10,O,3357,A,1893,CLE,WEEKLY_
Y,MAKER_ID_254,2026-09-11,CHECKER_ID_2,2026-09-11,O,4876,U,8890,CLE,WEEKLY_
Y,MAKER_ID_255,2026-09-12,CHECKER_ID_2,2026-09-12,O,9509,A,2192,CLE,WEEKLY_
Y,MAKER_ID_256,2026-09-13,CHECKER_ID_2,2026-09-13,O,8643,A,2310,CLE,WEEKLY_
Y,MAKER_ID_257,2026-09-14,CHECKER_ID_2,2026-09-14,O,8614,A,6084,CLE,WEEKLY_
Y,MAKER_ID_258,2026-09-15,CHECKER_ID_2,2026-09-15,O,1868,A,1086,CLE,WEEKLY_
Y,MAKER_ID_259,2026-09-16,CHECKER_ID_2,2026-09-16,O,3935,A,1570,CLE,WEEKLY_
Y,MAKER_ID_260,2026-09-17,CHECKER_ID_2,2026-09-17,O,2833,A,7207,CLE,WEEKLY_
Y,MAKER_ID_261,2026-09-18,CHECKER_ID_2,2026-09-18,O,8461,A,772,CLE,WEEKLY_
Y,MAKER_ID_262,2026-09-19,CHECKER_ID_2,2026-09-19,O,2026,A,6254,CLE,WEEKLY_
Y,MAKER_ID_263,2026-09-20,CHECKER_ID_2,2026-09-20,O,2955,A,5367,CLE,WEEKLY_
Y,MAKER_ID_264,2026-09-21,CHECKER_ID_2,2026-09-21,O,4328,A,9759,CLE,WEEKLY_
Y,MAKER_ID_265,2026-09-22,CHECKER_ID_2,2026-09-22,O,8041,A,9701,CLE,WEEKLY_
Y,MAKER_ID_266,2026-09-23,CHECKER_ID_2,2026-09-23,O,6006,A,6862,CLE,WEEKLY_
Y,MAKER_ID_267,2026-09-24,CHECKER_ID_2,2026-09-24,O,5462,A,426,CLE,WEEKLY_
Y,MAKER_ID_268,2026-09-25,CHECKER_ID_2,2026-09-25,O,7001,A,216,CLE,WEEKLY_
Y,MAKER_ID_269,2026-09-26,CHECKER_ID_2,2026-09-26,O,6421,A,8911,CLE,WEEKLY_
Y,MAKER_ID_270,2026-09-27,CHECKER_ID_2,2026-09-27,O,8646,A,2364,CLE,WEEKLY_
Y,MAKER_ID_271,2026-09-28,CHECKER_ID_2,2026-09-28,O,423,A,9360,CLE,WEEKLY_
Y,MAKER_ID_272,2026-09-29,CHECKER_ID_2,2026-09-29,O,6506,A,7698,CLE,WEEKLY_
Y,MAKER_ID_273,2026-09-30,CHECKER_ID_2,2026-09-30,O,8386,A,9008,CLE,WEEKLY_
Y,MAKER_ID_274,2026-10-01,CHECKER_ID_2,2026-10-01,O,4966,A,3860,CLE,WEEKLY_
Y,MAKER_ID_275,2026-10-02,CHECKER_ID_2,2026-10-02,O,8319,A,5847,CLE,WEEKLY_
Y,MAKER_ID_276,2026-10-03,CHECKER_ID_2,2026-10-03,O,1126,A,7405,CLE,WEEKLY_
Y,MAKER_ID_277,2026-10-04,CHECKER_ID_2,2026-10-04,O,5140,U,7301,CLE,WEEKLY_
Y,MAKER_ID_278,2026-10-05,CHECKER_ID_2,2026-10-05,O,7159,A,2563,CLE,WEEKLY_
Y,MAKER_ID_279,2026-10-06,CHECKER_ID_2,2026-10-06,O,2278,A,8627,CLE,WEEKLY_
Y,MAKER_ID_280,2026-10-07,CHECKER_ID_2,2026-10-07,O,2343,A,1250,CLE,WEEKLY_
Y,MAKER_ID_281,2026-10-08,CHECKER_ID_2,2026-10-08,O,1136,A,249,CLE,WEEKLY_
Y,MAKER_ID_282,2026-10-09,CHECKER_ID_2,2026-10-09,O,6788,A,3045,CLE,WEEKLY_
Y,MAKER_ID_283,2026-10-10,CHECKER_ID_2,2026-10-10,O,7766,A,5292,CLE,WEEKLY_
Y,MAKER_ID_284,2026-10-11,CHECKER_ID_2,2026-10-11,O,1812,A,9042,CLE,WEEKLY_
Y,MAKER_ID_285,2026-10-12,CHECKER_ID_2,2026-10-12,O,5928,A,5609,CLE,WEEKLY_
Y,MAKER_ID_286,2026-10-13,CHECKER_ID_2,2026-10-13,O,8798,A,2905,CLE,WEEKLY_
Y,MAKER_ID_287,2026-10-14,CHECKER_ID_2,2026-10-14,O,7296,A,8692,CLE,WEEKLY_
Y,MAKER_ID_288,2026-10-15,CHECKER_ID_2,2026-10-15,O,7774,A,900,CLE,WEEKLY_
Y,MAKER_ID_289,2026-10-16,CHECKER_ID_2,2026-10-16,O,6586,A,9423,CLE,WEEKLY_
Y,MAKER_ID_290,2026-10-17,CHECKER_ID_2,2026-10-17,O,5396,A,665,CLE,WEEKLY_
Y,MAKER_ID_291,2026-10-18,CHECKER_ID_2,2026-10-18,O,9751,A,645,CLE,WEEKLY_
Y,MAKER_ID_292,2026-10-19,CHECKER_ID_2,2026-10-19,O,5936,A,3211,CLE,WEEKLY_
Y,MAKER_ID_293,2026-10-20,CHECKER_ID_2,2026-10-20,O,6339,A,1845,CLE,WEEKLY_
Y,MAKER_ID_294,2026-10-21,CHECKER_ID_2,2026-10-21,O,7278,A,8005,CLE,WEEKLY_
Y,MAKER_ID_295,2026-10-22,CHECKER_ID_2,2026-10-22,O,8089,A,3452,CLE,WEEKLY_
Y,MAKER_ID_296,2026-10-23,CHECKER_ID_2,2026-10-23,O,3997,A,5440,CLE,WEEKLY_
Y,MAKER_ID_297,2026-10-24,CHECKER_ID_2,2026-10-24,O,6697,A,8528,CLE,WEEKLY_
Y,MAKER_ID_298,2026-10-25,CHECKER_ID_2,2026-10-25,O,3710,A,1893,CLE,WEEKLY_
Y,MAKER_ID_299,2026-10-26,CHECKER_ID_2,2026-10-26,O,1580,A,6797,CLE,WEEKLY_
Y,MAKER_ID_300,2026-10-27,CHECKER_ID_3,2026-10-27,O,1195,U,6392,CLE,WEEKLY_
Y,MAKER_ID_301,2026-10-28,CHECKER_ID_3,2026-10-28,O,295,A,5994,CLE,WEEKLY_
Y,MAKER_ID_302,2026-10-29,CHECKER_ID_3,2026-10-29,O,4124,A,1406,CLE,WEEKLY_
Y,MAKER_ID_303,2026-10-30,CHECKER_ID_3,2026-10-30,O,6992,A,943,CLE,WEEKLY_
Y,MAKER_ID_304,2026-10-31,CHECKER_ID_3,2026-10-31,O,665,A,3243,CLE,WEEKLY_
Y,MAKER_ID_305,2026-11-01,CHECKER_ID_3,2026-11-01,O,4099,A,3642,CLE,WEEKLY_
Y,MAKER_ID_306,2026-11-02,CHECKER_ID_3,2026-11-02,O,1722,A,4783,CLE,WEEKLY_
Y,MAKER_ID_307,2026-11-03,CHECKER_ID_3,2026-11-03,O,4565,A,9667,CLE,WEEKLY_
Y,MAKER_ID_308,2026-11-04,CHECKER_ID_3,2026-11-04,O,2594,A,5177,CLE,WEEKLY_
Y,MAKER_ID_309,2026-11-05,CHECKER_ID_3,2026-11-05,O,5165,A,7838,CLE,WEEKLY_
Y,MAKER_ID_310,2026-11-06,CHECKER_ID_3,2026-11-06,O,4777,A,8392,CLE,WEEKLY_
Y,MAKER_ID_311,2026-11-07,CHECKER_ID_3,2026-11-07,O,6249,A,890,CLE,WEEKLY_
Y,MAKER_ID_312,2026-11-08,CHECKER_ID_3,2026-11-08,O,4929,A,635,CLE,WEEKLY_
Y,MAKER_ID_313,2026-11-09,CHECKER_ID_3,2026-11-09,O,6676,A,6786,CLE,WEEKLY_
Y,MAKER_ID_314,2026-11-10,CHECKER_ID_3,2026-11-10,O,5872,A,5198,CLE,WEEKLY_
Y,MAKER_ID_315,2026-11-11,CHECKER_ID_3,2026-11-11,O,8393,A,2085,CLE,WEEKLY_
Y,MAKER_ID_316,2026-11-12,CHECKER_ID_3,2026-11-12,O,8708,A,5225,CLE,WEEKLY_
Y,MAKER_ID_317,2026-11-13,CHECKER_ID_3,2026-11-13,O,951,A,8096,CLE,WEEKLY_
Y,MAKER_ID_318,2026-11-14,CHECKER_ID_3,2026-11-14,O,7411,A,2148,CLE,WEEKLY_
Y,MAKER_ID_319,2026-11-15,CHECKER_ID_3,2026-11-15,O,6175,A,5581,CLE,WEEKLY_
Y,MAKER_ID_320,2026-11-16,CHECKER_ID_3,2026-11-16,O,2084,A,8947,CLE,WEEKLY_
Y,MAKER_ID_321,2026-11-17,CHECKER_ID_3,2026-11-17,O,3424,A,4828,CLE,WEEKLY_
Y,MAKER_ID_322,2026-11-18,CHECKER_ID_3,2026-11-18,O,2767,A,9296,CLE,WEEKLY_
Y,MAKER_ID_323,2026-11-19,CHECKER_ID_3,2026-11-19,O,4497,U,5660,CLE,WEEKLY_
Y,MAKER_ID_324,2026-11-20,CHECKER_ID_3,2026-11-20,O,7762,A,4279,CLE,WEEKLY_
Y,MAKER_ID_325,2026-11-21,CHECKER_ID_3,2026-11-21,O,8950,A,9824,CLE,WEEKLY_
Y,MAKER_ID_326,2026-11-22,CHECKER_ID_3,2026-11-22,O,8703,A,8327,CLE,WEEKLY_
Y,MAKER_ID_327,2026-11-23,CHECKER_ID_3,2026-11-23,O,2315,A,7725,CLE,WEEKLY_
Y,MAKER_ID_328,2026-11-24,CHECKER_ID_3,2026-11-24,O,3085,A,3547,CLE,WEEKLY_
Y,MAKER_ID_329,2026-11-25,CHECKER_ID_3,2026-11-25,O,707,A,2717,CLE,WEEKLY_
Y,MAKER_ID_330,2026-11-26,CHECKER_ID_3,2026-11-26,O,3997,A,9535,CLE,WEEKLY_
Y,MAKER_ID_331,2026-11-27,CHECKER_ID_3,2026-11-27,O,6807,A,171,CLE,WEEKLY_
Y,MAKER_ID_332,2026-11-28,CHECKER_ID_3,2026-11-28,O,2563,A,232,CLE,WEEKLY_
Y,MAKER_ID_333,2026-11-29,CHECKER_ID_3,2026-11-29,O,2939,A,3068,CLE,WEEKLY_
Y,MAKER_ID_334,2026-11-30,CHECKER_ID_3,2026-11-30,O,2229,A,869,CLE,WEEKLY_
Y,MAKER_ID_335,2026-12-01,CHECKER_ID_3,2026-12-01,O,949,A,2151,CLE,WEEKLY_
Y,MAKER_ID_336,2026-12-02,CHECKER_ID_3,2026-12-02,O,5820,A,7866,CLE,WEEKLY_
Y,MAKER_ID_337,2026-12-03,CHECKER_ID_3,2026-12-03,O,8633,A,3275,CLE,WEEKLY_
Y,MAKER_ID_338,2026-12-04,CHECKER_ID_3,2026-12-04,O,7730,A,1205,CLE,WEEKLY_
Y,MAKER_ID_339,2026-12-05,CHECKER_ID_3,2026-12-05,O,2883,A,6323,CLE,WEEKLY_
Y,MAKER_ID_340,2026-12-06,CHECKER_ID_3,2026-12-06,O,1720,A,8953,CLE,WEEKLY_
Y,MAKER_ID_341,2026-12-07,CHECKER_ID_3,2026-12-07,O,7533,A,118,CLE,WEEKLY_
Y,MAKER_ID_342,2026-12-08,CHECKER_ID_3,2026-12-08,O,1124,A,9378,CLE,WEEKLY_
Y,MAKER_ID_343,2026-12-09,CHECKER_ID_3,2026-12-09,O,5093,A,7824,CLE,WEEKLY_
Y,MAKER_ID_344,2026-12-10,CHECKER_ID_3,2026-12-10,O,3683,A,5773,CLE,WEEKLY_
Y,MAKER_ID_345,2026-12-11,CHECKER_ID_3,2026-12-11,O,861,A,6795,CLE,WEEKLY_
Y,MAKER_ID_346,2026-12-12,CHECKER_ID_3,2026-12-12,O,7422,U,8022,CLE,WEEKLY_
Y,MAKER_ID_347,2026-12-13,CHECKER_ID_3,2026-12-13,O,9739,A,4118,CLE,WEEKLY_
Y,MAKER_ID_348,2026-12-14,CHECKER_ID_3,2026-12-14,O,6392,A,1650,CLE,WEEKLY_
Y,MAKER_ID_349,2026-12-15,CHECKER_ID_3,2026-12-15,O,5420,A,2258,CLE,WEEKLY_
Y,MAKER_ID_350,2026-12-16,CHECKER_ID_3,2026-12-16,O,7658,A,3168,CLE,WEEKLY_
Y,MAKER_ID_351,2026-12-17,CHECKER_ID_3,2026-12-17,O,7922,A,9152,CLE,WEEKLY_
Y,MAKER_ID_352,2026-12-18,CHECKER_ID_3,2026-12-18,O,3898,A,17,CLE,WEEKLY_
Y,MAKER_ID_353,2026-12-19,CHECKER_ID_3,2026-12-19,O,6185,A,7344,CLE,WEEKLY_
Y,MAKER_ID_354,2026-12-20,CHECKER_ID_3,2026-12-20,O,8361,A,6030,CLE,WEEKLY_
Y,MAKER_ID_355,2026-12-21,CHECKER_ID_3,2026-12-21,O,8833,A,2944,CLE,WEEKLY_
Y,MAKER_ID_356,2026-12-22,CHECKER_ID_3,2026-12-22,O,5732,A,7831,CLE,WEEKLY_
Y,MAKER_ID_357,2026-12-23,CHECKER_ID_3,2026-12-23,O,5101,A,5677,CLE,WEEKLY_
Y,MAKER_ID_358,2026-12-24,CHECKER_ID_3,2026-12-24,O,9032,A,4264,CLE,WEEKLY_
Y,MAKER_ID_359,2026-12-25,CHECKER_ID_3,2026-12-25,O,7690,A,8380,CLE,WEEKLY_
Y,MAKER_ID_360,2026-12-26,CHECKER_ID_3,2026-12-26,O,3719,A,5222,CLE,WEEKLY_
Y,MAKER_ID_361,2026-12-27,CHECKER_ID_3,2026-12-27,O,1348,A,3176,CLE,WEEKLY_
Y,MAKER_ID_362,2026-12-28,CHECKER_ID_3,2026-12-28,O,6322,A,5612,CLE,WEEKLY_
Y,MAKER_ID_363,2026-12-29,CHECKER_ID_3,2026-12-29,O,4121,A,5288,CLE,WEEKLY_
Y,MAKER_ID_364,2026-12-30,CHECKER_ID_3,2026-12-30,O,4937,A,3499,CLE,WEEKLY_
Y,MAKER_ID_365,2026-12-31,CHECKER_ID_3,2026-12-31,O,8128,A,8635,CLE,WEEKLY_
Y,MAKER_ID_366,2026-01-01,CHECKER_ID_3,2026-01-01,O,46,A,3496,CLE,WEEKLY_
Y,MAKER_ID_367,2026-01-02,CHECKER_ID_3,2026-01-02,O,8090,A,6287,CLE,WEEKLY_
